time,core1,core2,core3,core4
 000000,000000,000000,000000,000000
000001,000000,000000,000000,000000
000002,000000,000000,000000,000000
000003,012979,014730,012836,012888
000004,6087257,5844965,6554331,6547643
000005,1821316,2054007,1383787,1382945
000006,023585,014894,014667,009110
000007,026883,011000,006782,005260
000008,001543,002985,001191,007510
000009,000423,001552,000324,006193
000010,000261,001734,000231,003613
000011,000217,002021,000153,001008
000012,000125,001182,000185,001199
000013,000124,001041,000313,000429
000014,000125,000818,000267,000056
000015,000095,000736,000233,000037
000016,000101,000521,000274,000049
000017,000097,000415,000106,000044
000018,000105,000486,000119,000056
000019,000064,000335,000118,000015
000020,000056,000285,000071,000018
000021,000042,000270,000076,000013
000022,000048,000290,000171,000014
000023,000062,000302,000214,000012
000024,000060,000261,000116,000011
000025,000041,000240,000069,000010
000026,000028,000220,000055,000005
000027,000030,000232,000056,000008
000028,000035,000215,000065,000004
000029,000023,000189,000051,000011
000030,000026,000183,000098,000008
000031,000037,000232,000095,000005
000032,000028,000200,000048,000009
000033,000023,000187,000025,000008
000034,000027,000163,000031,000003
000035,000016,000150,000047,000014
000036,000013,000198,000040,000001
000037,000015,000177,000029,000003
000038,000024,000140,000035,000003
000039,000020,000171,000059,000002
000040,000007,000188,000007,000003
000041,000006,000186,000011,000002
000042,000003,000190,000008,000000
000043,000002,000177,000006,000003
000044,000002,000182,000004,000000
000045,000001,000212,000006,000004
000046,000005,000195,000005,000000
000047,000003,000179,000005,000001
000048,000010,000209,000007,000003
000049,000004,000225,000003,000000
000050,000001,000211,000001,000001
000051,000002,000155,000010,000003
000052,000001,000145,000004,000002
000053,000003,000194,000001,000001
000054,000002,000209,000005,000000
000055,000004,000170,000009,000001
000056,000003,000140,000003,000001
000057,000005,000144,000005,000001
000058,000003,000233,000028,000000
000059,000008,000261,000015,000002
000060,000005,000246,000007,000002
000061,000004,000257,000010,000004
000062,000004,000305,000008,000001
000063,000007,000364,000005,000001
000064,000003,000343,000003,000001
000065,000004,000309,000009,000005
000066,000006,000288,000003,000001
000067,000004,000301,000008,000000
000068,000003,000387,000003,000004
000069,000009,000368,000002,000003
000070,000004,000330,000001,000002
000071,000003,000294,000002,000001
000072,000002,000439,000001,000001
000073,000003,000431,000000,000004
000074,000003,000396,000001,000000
000075,000003,000295,000005,000004
000076,000004,000323,000011,000002
000077,000001,000403,000005,000002
000078,000002,000395,000011,000005
000079,000021,000348,000004,000005
000080,000019,000270,000004,000003
000081,000009,000233,000002,000007
000082,000003,000293,000002,000003
000083,000003,000319,000005,000005
000084,000007,000284,000004,000001
000085,000021,000241,000009,000003
000086,000014,000282,000012,000004
000087,000016,000316,000010,000000
000088,000004,000296,000009,000002
000089,000005,000250,000008,000001
000090,000005,000238,000004,000001
000091,000004,000544,000012,000001
000092,000004,000997,000003,000001
000093,000005,000432,000002,000001
000094,000003,000289,000001,000000
000095,000002,000241,000002,000002
000096,000001,000230,000002,000001
000097,000003,000187,000001,000000
000098,000002,000165,000004,000001
000099,000005,000168,000001,000002
000100,000005,000212,000004,000000
000101,000003,000203,000003,000001
000102,000007,000179,000001,000000
000103,000007,000169,000002,000000
000104,000004,000213,000002,000000
000105,000005,000187,000002,000001
000106,000002,000182,000001,000001
000107,000000,000171,000001,000001
000108,000003,000190,000003,000000
000109,000000,000222,000006,000000
000110,000003,000196,000000,000000
000111,000003,000183,000000,000000
000112,000002,000176,000001,000000
000113,000002,000207,000003,000000
000114,000001,000232,000002,000000
000115,000004,000207,000000,000000
000116,000002,000159,000001,000000
000117,000002,000216,000002,000000
000118,000004,000163,000001,000002
000119,000005,000111,000001,000000
000120,000003,000073,000003,000001
000121,000004,000070,000002,000000
000122,000002,000084,000001,000000
000123,000002,000064,000002,000001
000124,000000,000055,000000,000001
000125,000001,000023,000001,000000
000126,000002,000021,000000,000000
000127,000003,000012,000001,000002
000128,000004,000004,000004,000000
000129,000005,000003,000003,000000
000130,000001,000001,000004,000000
000131,000002,000001,000002,000000
000132,000001,000002,000003,000000
000133,000000,000001,000003,000000
000134,000001,000001,000003,000000
000135,000001,000000,000004,000000
000136,000002,000000,000001,000000
000137,000004,000001,000001,000000
000138,000003,000000,000002,000000
000139,000002,000000,000001,000000
000140,000001,000000,000003,000000
000141,000004,000002,000001,000000
000142,000001,000000,000005,000000
000143,000001,000000,000005,000000
000144,000000,000000,000005,000002
000145,000001,000001,000007,000000
000146,000003,000001,000006,000000
000147,000003,000001,000011,000000
000148,000003,000001,000006,000001
000149,000001,000000,000003,000000
000150,000000,000002,000007,000001
000151,000002,000000,000008,000001
000152,000006,000000,000003,000000
000153,000003,000001,000009,000000
000154,000001,000000,000006,000000
000155,000000,000001,000006,000000
000156,000005,000001,000011,000000
000157,000002,000000,000007,000003
000158,000002,000001,000007,000000
000159,000006,000000,000010,000001
000160,000002,000000,000007,000000
000161,000000,000001,000011,000000
000162,000002,000001,000009,000001
000163,000000,000000,000007,000002
000164,000001,000003,000007,000000
000165,000001,000003,000013,000001
000166,000004,000000,000008,000001
000167,000010,000000,000006,000000
000168,000005,000002,000007,000005
000169,000004,000002,000006,000000
000170,000001,000000,000006,000001
000171,000001,000002,000003,000001
000172,000001,000001,000003,000002
000173,000001,000001,000006,000001
000174,000003,000002,000012,000000
000175,000005,000002,000010,000003
000176,000003,000000,000011,000001
000177,000005,000000,000008,000001
000178,000007,000001,000005,000001
000179,000002,000000,000005,000000
000180,000003,000000,000001,000000
000181,000003,000000,000000,000001
000182,000001,000002,000003,000000
000183,000001,000000,000003,000000
000184,000002,000001,000003,000001
000185,000008,000000,000011,000000
000186,000005,000000,000009,000000
000187,000008,000000,000006,000000
000188,000003,000000,000008,000000
000189,000002,000000,000006,000000
000190,000000,000000,000005,000000
000191,000000,000001,000006,000001
000192,000003,000000,000003,000000
000193,000003,000000,000003,000002
000194,000005,000000,000002,000001
000195,000003,000000,000003,000000
000196,000006,000001,000002,000000
000197,000002,000000,000001,000000
000198,000005,000000,000002,000000
000199,000004,000000,000001,000000
000200,000002,000001,000002,000000
000201,000004,000000,000000,000000
000202,000000,000000,000001,000000
000203,000000,000000,000002,000000
000204,000001,000001,000001,000001
000205,000001,000000,000000,000001
000206,000001,000000,000001,000002
000207,000001,000003,000000,000000
000208,000000,000000,000003,000000
000209,000000,000001,000001,000000
000210,000002,000002,000002,000000
000211,000002,000001,000000,000001
000212,000001,000000,000001,000000
000213,000000,000000,000001,000000
000214,000002,000000,000000,000000
000215,000002,000000,000001,000002
000216,000001,000000,000004,000001
000217,000003,000000,000003,000002
000218,000004,000000,000004,000000
000219,000002,000001,000001,000000
000220,000003,000000,000000,000000
000221,000002,000000,000001,000000
000222,000002,000000,000000,000000
000223,000000,000001,000001,000000
000224,000000,000001,000002,000001
000225,000001,000000,000000,000001
000226,000002,000000,000001,000000
000227,000001,000000,000006,000000
000228,000004,000000,000004,000000
000229,000003,000001,000000,000000
000230,000002,000000,000001,000000
000231,000002,000001,000005,000000
000232,000002,000000,000000,000000
000233,000000,000000,000001,000000
000234,000000,000000,000000,000000
000235,000001,000000,000000,000000
000236,000002,000000,000000,000000
000237,000001,000000,000001,000000
000238,000000,000000,000001,000000
000239,000002,000000,000000,000000
000240,000000,000000,000000,000000
000241,000002,000000,000001,000000
000242,000003,000000,000000,000000
000243,000000,000000,000003,000000
000244,000001,000000,000000,000000
000245,000001,000000,000002,000000
000246,000001,000000,000000,000000
000247,000002,000000,000000,000000
000248,000001,000000,000001,000000
000249,000002,000000,000001,000000
000250,000000,000001,000001,000000
000251,000001,000001,000000,000000
000252,000000,000000,000001,000001
000253,000000,000001,000000,000000
000254,000000,000000,000002,000000
000255,000001,000000,000000,000000
000256,000001,000000,000000,000000
000257,000000,000000,000000,000000
000258,000000,000001,000000,000000
000259,000000,000001,000001,000000
000260,000000,000000,000000,000000
000261,000000,000000,000000,000001
000262,000000,000000,000000,000000
000263,000000,000000,000001,000001
000264,000000,000002,000000,000000
000265,000000,000000,000000,000000
000266,000000,000000,000001,000000
000267,000000,000001,000000,000000
000268,000000,000000,000001,000000
000269,000001,000000,000001,000001
000270,000000,000000,000001,000000
000271,000001,000001,000000,000001
000272,000000,000001,000000,000000
000273,000001,000000,000000,000000
000274,000000,000000,000000,000000
000275,000001,000000,000000,000000
000276,000000,000000,000000,000000
000277,000001,000000,000000,000000
000278,000000,000000,000001,000000
000279,000001,000000,000002,000000
000280,000000,000000,000001,000000
000281,000000,000000,000000,000000
000282,000001,000000,000001,000000
000283,000001,000000,000000,000000
000284,000000,000000,000000,000000
000285,000000,000000,000000,000000
000286,000000,000000,000000,000000
000287,000001,000000,000000,000000
000288,000000,000000,000000,000000
000289,000001,000000,000001,000000
000290,000001,000000,000000,000000
000291,000000,000000,000000,000000
000292,000000,000000,000000,000000
000293,000000,000000,000000,000000
000294,000000,000000,000002,000000
000295,000001,000000,000000,000000
000296,000000,000000,000000,000000
000297,000000,000000,000000,000000
000298,000001,000000,000001,000000
000299,000001,000000,000002,000000
000300,000002,000000,000001,000001
000301,000000,000000,000000,000000
000302,000000,000000,000001,000000
000303,000000,000000,000000,000000
000304,000001,000000,000000,000000
000305,000000,000000,000001,000001
000306,000002,000000,000001,000000
000307,000001,000000,000000,000000
000308,000000,000000,000000,000000
000309,000003,000000,000004,000000
000310,000002,000000,000002,000000
000311,000001,000000,000000,000000
000312,000000,000000,000001,000000
000313,000002,000000,000001,000000
000314,000000,000000,000002,000000
000315,000001,000000,000000,000000
000316,000000,000000,000000,000000
000317,000000,000000,000000,000000
000318,000001,000001,000001,000000
000319,000001,000000,000001,000000
000320,000001,000000,000002,000000
000321,000002,000001,000000,000000
000322,000000,000000,000000,000000
000323,000001,000000,000001,000000
000324,000000,000000,000000,000000
000325,000000,000000,000000,000000
000326,000000,000000,000001,000000
000327,000000,000000,000000,000000
000328,000001,000000,000000,000000
000329,000000,000000,000000,000000
000330,000000,000000,000001,000000
000331,000000,000001,000000,000000
000332,000000,000000,000000,000000
000333,000001,000000,000001,000000
000334,000001,000000,000000,000000
000335,000000,000001,000001,000000
000336,000000,000002,000000,000000
000337,000000,000000,000000,000000
000338,000000,000000,000000,000000
000339,000000,000000,000000,000000
000340,000000,000000,000000,000000
000341,000000,000000,000000,000000
000342,000000,000000,000000,000000
000343,000000,000000,000000,000000
000344,000000,000001,000001,000001
000345,000000,000000,000000,000000
000346,000001,000000,000000,000000
000347,000000,000000,000000,000000
000348,000000,000001,000000,000000
000349,000000,000000,000000,000000
000350,000000,000000,000000,000000
000351,000001,000000,000000,000000
000352,000000,000000,000001,000000
000353,000000,000000,000000,000000
000354,000001,000000,000002,000000
000355,000000,000000,000000,000000
000356,000000,000000,000000,000000
000357,000001,000000,000000,000000
000358,000000,000000,000000,000000
000359,000000,000000,000000,000000
000360,000000,000000,000000,000000
000361,000000,000000,000000,000001
000362,000000,000000,000000,000000
000363,000000,000001,000000,000001
000364,000000,000001,000000,000000
000365,000000,000000,000000,000001
000366,000000,000001,000000,000000
000367,000000,000000,000000,000000
000368,000001,000000,000000,000000
000369,000000,000000,000000,000000
000370,000000,000000,000000,000000
000371,000000,000000,000000,000000
000372,000000,000001,000000,000001
000373,000000,000000,000000,000000
000374,000000,000001,000000,000000
000375,000000,000000,000000,000000
000376,000000,000000,000000,000001
000377,000000,000000,000000,000000
000378,000000,000000,000000,000000
000379,000000,000000,000000,000000
000380,000000,000000,000000,000000
000381,000000,000000,000000,000000
000382,000000,000000,000000,000000
000383,000000,000000,000000,000000
000384,000000,000000,000000,000000
000385,000000,000000,000000,000000
000386,000000,000001,000000,000000
000387,000000,000000,000000,000000
000388,000001,000000,000000,000000
000389,000000,000000,000000,000000
000390,000000,000000,000000,000000
000391,000000,000000,000002,000000
000392,000000,000001,000000,000000
000393,000000,000000,000000,000000
000394,000001,000000,000000,000000
000395,000000,000000,000000,000000
000396,000000,000000,000000,000000
000397,000000,000000,000000,000000
000398,000000,000001,000000,000000
000399,000000,000000,000000,000000
